Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
M/F,Eden Hazard (11831757),Eden Hazard,11831757,M/F/UTIL,10600,CHE vs LEI 10:00AM ET,CHE,17.27
M/F,Raheem Sterling (11831760),Raheem Sterling,11831760,M/F/UTIL,10300,MCI vs CRY 10:00AM ET,MCI,16.30
F,Sergio Aguero (11831763),Sergio Aguero,11831763,F/UTIL,9800,MCI vs CRY 10:00AM ET,MCI,14.67
M/F,Riyad Mahrez (11831448),Riyad Mahrez,11831448,M/F/UTIL,9400,MCI vs CRY 10:00AM ET,MCI,9.56
M/F,Anthony Martial (11831765),Anthony Martial,11831765,M/F/UTIL,9100,CAR vs MU 12:30PM ET,MU,9.69
M/F,Leroy Sane (11831768),Leroy Sane,11831768,M/F/UTIL,8800,MCI vs CRY 10:00AM ET,MCI,12.15
M/F, Willian (11831771), Willian,11831771,M/F/UTIL,8600,CHE vs LEI 10:00AM ET,CHE,10.27
M,Ryan Fraser (11831451),Ryan Fraser,11831451,M/UTIL,8500,BOU vs BHA 10:00AM ET,BOU,13.24
F,Gabriel Jesus (11831774),Gabriel Jesus,11831774,F/UTIL,8400,MCI vs CRY 10:00AM ET,MCI,6.62
F,Marcus Rashford (11831776),Marcus Rashford,11831776,F/UTIL,8200,CAR vs MU 12:30PM ET,MU,8.98
M,Felipe Anderson (11831455),Felipe Anderson,11831455,M/UTIL,8100,WHU vs WAT 10:00AM ET,WHU,11.97
M/F, Pedro (11831778), Pedro,11831778,M/F/UTIL,8000,CHE vs LEI 10:00AM ET,CHE,8.92
M,David Silva (11831453),David Silva,11831453,M/UTIL,7900,MCI vs CRY 10:00AM ET,MCI,10.88
F,Javier Chicharito (11831781),Javier Chicharito,11831781,F/UTIL,7900,WHU vs WAT 10:00AM ET,WHU,7.06
F,Salomon Rondon (11831783),Salomon Rondon,11831783,F/UTIL,7800,NEW vs FUL 10:00AM ET,NEW,8.29
M,Robert Snodgrass (11831457),Robert Snodgrass,11831457,M/UTIL,7800,WHU vs WAT 10:00AM ET,WHU,8.30
M,Solly March (11831459),Solly March,11831459,M/UTIL,7700,BOU vs BHA 10:00AM ET,BHA,8.53
F,Callum Wilson (11831787),Callum Wilson,11831787,F/UTIL,7700,BOU vs BHA 10:00AM ET,BOU,10.62
F,Olivier Giroud (11831785),Olivier Giroud,11831785,F/UTIL,7600,CHE vs LEI 10:00AM ET,CHE,4.70
M/F,Marko Arnautovic (11831791),Marko Arnautovic,11831791,M/F/UTIL,7600,WHU vs WAT 10:00AM ET,WHU,9.5
F,Alvaro Morata (11831789),Alvaro Morata,11831789,F/UTIL,7500,CHE vs LEI 10:00AM ET,CHE,7.48
M/F,Bernardo Silva (11831461),Bernardo Silva,11831461,M/F/UTIL,7500,MCI vs CRY 10:00AM ET,MCI,8.72
M,Paul Pogba (11831464),Paul Pogba,11831464,M/UTIL,7400,CAR vs MU 12:30PM ET,MU,9.75
F,Romelu Lukaku (11831794),Romelu Lukaku,11831794,F/UTIL,7400,CAR vs MU 12:30PM ET,MU,7.48
F,Danny Ings (11831796),Danny Ings,11831796,F/UTIL,7400,HUD vs SOU 10:00AM ET,SOU,11.71
M/F,Alexis Sanchez (11831798),Alexis Sanchez,11831798,M/F/UTIL,7300,CAR vs MU 12:30PM ET,MU,6.5
F,Joshua King (11831801),Joshua King,11831801,F/UTIL,7200,BOU vs BHA 10:00AM ET,BOU,8.79
M,Kevin De Bruyne (11831466),Kevin De Bruyne,11831466,M/UTIL,7200,MCI vs CRY 10:00AM ET,MCI,1.25
M,Juan Mata (11831468),Juan Mata,11831468,M/UTIL,7100,CAR vs MU 12:30PM ET,MU,6.52
F,Aleksandar Mitrovic (11831803),Aleksandar Mitrovic,11831803,F/UTIL,7100,NEW vs FUL 10:00AM ET,FUL,10.57
M/F,Michail Antonio (11831470),Michail Antonio,11831470,M/F/UTIL,7000,WHU vs WAT 10:00AM ET,WHU,6.32
M,James Maddison (11831473),James Maddison,11831473,M/UTIL,6900,CHE vs LEI 10:00AM ET,LEI,12.67
M,Aaron Mooy (11831475),Aaron Mooy,11831475,M/UTIL,6900,HUD vs SOU 10:00AM ET,HUD,10.02
M,Ruben Loftus-Cheek (11831477),Ruben Loftus-Cheek,11831477,M/UTIL,6800,CHE vs LEI 10:00AM ET,CHE,7.68
F,Charlie Austin (11831805),Charlie Austin,11831805,F/UTIL,6800,HUD vs SOU 10:00AM ET,SOU,4.19
M,David Brooks (11831481),David Brooks,11831481,M/UTIL,6700,BOU vs BHA 10:00AM ET,BOU,7.83
F,Manolo Gabbiadini (11831807),Manolo Gabbiadini,11831807,F/UTIL,6700,HUD vs SOU 10:00AM ET,SOU,4
M,Ilkay Gundogan (11831479),Ilkay Gundogan,11831479,M/UTIL,6700,MCI vs CRY 10:00AM ET,MCI,8.56
M,Ross Barkley (11831483),Ross Barkley,11831483,M/UTIL,6600,CHE vs LEI 10:00AM ET,CHE,6.39
M,Junior Stanislas (11831487),Junior Stanislas,11831487,M/UTIL,6500,BOU vs BHA 10:00AM ET,BOU,4.96
M,Victor Camarasa (11831489),Victor Camarasa,11831489,M/UTIL,6500,CAR vs MU 12:30PM ET,CAR,7.88
M,Matt Ritchie (11831485),Matt Ritchie,11831485,M/UTIL,6500,NEW vs FUL 10:00AM ET,NEW,8.17
M/F,Gerard Deulofeu (11831809),Gerard Deulofeu,11831809,M/F/UTIL,6500,WHU vs WAT 10:00AM ET,WAT,6.5
M,Jesse Lingard (11831491),Jesse Lingard,11831491,M/UTIL,6400,CAR vs MU 12:30PM ET,MU,5.36
M,James Ward-Prowse (11831495),James Ward-Prowse,11831495,M/UTIL,6400,HUD vs SOU 10:00AM ET,SOU,4.71
M,Jonjo Shelvey (11831493),Jonjo Shelvey,11831493,M/UTIL,6400,NEW vs FUL 10:00AM ET,NEW,7
F,Aboubakar Kamara (11831812),Aboubakar Kamara,11831812,F/UTIL,6400,NEW vs FUL 10:00AM ET,FUL,5.92
F,Glenn Murray (11831816),Glenn Murray,11831816,F/UTIL,6300,BOU vs BHA 10:00AM ET,BHA,6.88
M,Alex Pritchard (11831497),Alex Pritchard,11831497,M/UTIL,6300,HUD vs SOU 10:00AM ET,HUD,7.30
M,Mohamed Elyounoussi (11831499),Mohamed Elyounoussi,11831499,M/UTIL,6200,HUD vs SOU 10:00AM ET,SOU,7.12
F, Joselu (11831814), Joselu,11831814,F/UTIL,6200,NEW vs FUL 10:00AM ET,NEW,4.02
M,Marc Albrighton (11831501),Marc Albrighton,11831501,M/UTIL,6100,CHE vs LEI 10:00AM ET,LEI,7.25
M/F,Andre Schurrle (11831503),Andre Schurrle,11831503,M/F/UTIL,6100,NEW vs FUL 10:00AM ET,FUL,9.3
M,Anthony Knockaert (11831508),Anthony Knockaert,11831508,M/UTIL,6000,BOU vs BHA 10:00AM ET,BHA,7.68
GK,Ederson Ederson (11831129),Ederson Ederson,11831129,GK,6000,MCI vs CRY 10:00AM ET,MCI,9.09
F,Luciano Vietto (11831818),Luciano Vietto,11831818,F/UTIL,6000,NEW vs FUL 10:00AM ET,FUL,5.52
D,Jose Holebas (11831179),Jose Holebas,11831179,D/UTIL,6000,WHU vs WAT 10:00AM ET,WAT,13.07
M,Roberto Pereyra (11831506),Roberto Pereyra,11831506,M/UTIL,6000,WHU vs WAT 10:00AM ET,WAT,8.35
GK,Kepa Arrizabalaga (11831130),Kepa Arrizabalaga,11831130,GK,5900,CHE vs LEI 10:00AM ET,CHE,8.5
GK,Claudio Bravo (11831131),Claudio Bravo,11831131,GK,5900,MCI vs CRY 10:00AM ET,MCI,0
GK,Daniel Grimshaw (11831132),Daniel Grimshaw,11831132,GK,5900,MCI vs CRY 10:00AM ET,MCI,0
GK,Arijanet Muric (11831133),Arijanet Muric,11831133,GK,5900,MCI vs CRY 10:00AM ET,MCI,0
M/F,Andros Townsend (11831510),Andros Townsend,11831510,M/F/UTIL,5900,MCI vs CRY 10:00AM ET,CRY,10.12
GK,Robert Green (11831134),Robert Green,11831134,GK,5800,CHE vs LEI 10:00AM ET,CHE,0
GK,Willy Caballero (11831135),Willy Caballero,11831135,GK,5800,CHE vs LEI 10:00AM ET,CHE,0
GK,Jamie Cumming (11831136),Jamie Cumming,11831136,GK,5800,CHE vs LEI 10:00AM ET,CHE,0
GK,Marcin Bulka (11831137),Marcin Bulka,11831137,GK,5800,CHE vs LEI 10:00AM ET,CHE,0
D,Benjamin Mendy (11831181),Benjamin Mendy,11831181,D/UTIL,5800,MCI vs CRY 10:00AM ET,MCI,10.58
M/F,Ayoze Perez (11831820),Ayoze Perez,11831820,M/F/UTIL,5800,NEW vs FUL 10:00AM ET,NEW,5.52
D,Ashley Young (11831183),Ashley Young,11831183,D/UTIL,5700,CAR vs MU 12:30PM ET,MU,11.21
F,Laurent Depoitre (11831825),Laurent Depoitre,11831825,F/UTIL,5700,HUD vs SOU 10:00AM ET,HUD,2.45
M, Kenedy (11831513), Kenedy,11831513,M/UTIL,5700,NEW vs FUL 10:00AM ET,NEW,6.38
GK,David De Gea (11831138),David De Gea,11831138,GK,5600,CAR vs MU 12:30PM ET,MU,6.47
M/F,David Junior Hoilett (11831829),David Junior Hoilett,11831829,M/F/UTIL,5600,CAR vs MU 12:30PM ET,CAR,6.23
D,Marcos Alonso (11831185),Marcos Alonso,11831185,D/UTIL,5600,CHE vs LEI 10:00AM ET,CHE,9.60
F,Callum Hudson-Odoi (11831823),Callum Hudson-Odoi,11831823,F/UTIL,5600,CHE vs LEI 10:00AM ET,CHE,0
GK,Lee Grant (11831139),Lee Grant,11831139,GK,5500,CAR vs MU 12:30PM ET,MU,0
GK,Sergio Romero (11831140),Sergio Romero,11831140,GK,5500,CAR vs MU 12:30PM ET,MU,0
GK,Matej Kovar (11831141),Matej Kovar,11831141,GK,5500,CAR vs MU 12:30PM ET,MU,0
